X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Combine,시대,Name
127.681392E,38.062789N,강원,Charcoal,화천 원천리,65,Yemaek Cultural Property Research Institute,1700,20,중도,,원삼국-백제 한성기,화천 원천리 65
127.681392E,38.062789N,강원,Charcoal,화천 원천리,78,Yemaek Cultural Property Research Institute,1700,20,중도,,원삼국-백제 한성기,화천 원천리 78
127.194032E,37.72955N,경기,Charcoal,남양주 장현,77,Central Institute of Cultural Heritage,1700,50,마한,,원삼국-백제 한성기,남양주 장현 77
126.981489E,37.819986N,경기,Charcoal,양주 광석리,3,Kukbang Cultural Property Research Center,1700,40,중도,,원삼국-백제 한성기,양주 광석리 3
127.018379E,38.109908N,경기,Charcoal,연천 강내리,41 ,Korea Institute of Heritage,1700,40,중도,,원삼국-백제 한성기,연천 강내리 41 
127.018379E,38.109908N,경기,Charcoal,연천 강내리,58 ,Korea Institute of Heritage,1700,40,중도,,원삼국-백제 한성기,연천 강내리 58 
126.689053E,37.611847N,경기,Charcoal,인천 불로동,4-1,Korean Association for Archaeological Heritage,1700,80,마한,,원삼국-백제 한성기,인천 불로동 4-1
126.760831E,37.726843N,경기,Charcoal,파주 운정,Unjeong 1-3-2 ,Institute of Korean prehistory,1700,30,마한,,원삼국-백제 한성기,파주 운정 Unjeong 1-3-2 
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,9,Museum of Hansin University,1700,43,중도,,원삼국-백제 한성기,서울 풍납토성 9
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,11-가-1 ,National Research Institute of Cultural Heritage,1700,50,중도,,원삼국-백제 한성기,서울 풍납토성 11-가-1 
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,나-12,National Research Institute of Cultural Heritage,1700,50,중도,,원삼국-백제 한성기,서울 풍납토성 나-12
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,나-3,National Research Institute of Cultural Heritage,1700,50,중도,,원삼국-백제 한성기,서울 풍납토성 나-3
127.192812E,37.579804N,경기,Charcoal,하남 명월동 구산,8 ,Korea Institute of Heritage,1700,60,마한,,원삼국-백제 한성기,하남 명월동 구산 8 
127.212112E,38.084803N,경기,Charcoal,포천 중리,8,Gyerye Cultural Heritage Research Institute,1700,30,중도,No,원삼국-백제 한성기,포천 중리 8
127.536201E,37.422809N,경기,Charcoal,양평 하자포리,삼(한)-주,Korea Cultural Heritage Foundation,1700,24,중도,No,원삼국-백제 한성기,양평 하자포리 삼(한)-주
127.484805E,37.494859N,경기,Charcoal,양평 양근리,3,Gukto Institute of Cultural Heritage,1700,30,중도,No,원삼국-백제 한성기,양평 양근리 3
128.397984E,37.390637N,강원,Charcoal,평창 후평리,가-11,Gangwon Research Institute of Archaeological and Cultural Properties,1700,30,중도,No,원삼국-백제 한성기,평창 후평리 가-11
127.166779E,37.626062N,경기,Charcoal,남양주 지금동,2 ,Museum of Sejong University,1701,47,중도,,원삼국-백제 한성기,남양주 지금동 2 
