X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Combine,시대,Name
127.251734E,37.395526N,경기,Charcoal,광주 역동,주-5,Korea Cultural Heritage Institute,1760,30,중도,No,원삼국-백제 한성기,광주 역동 주-5
127.484805E,37.494859N,경기,Charcoal,양평 양근리,5,Gukto Institute of Cultural Heritage,1760,30,중도,No,원삼국-백제 한성기,양평 양근리 5
127.535261E,37.424531N,경기,Charcoal,양평 하자포리,3,Korea Institute of Heritage,1765,15,중도,Yes,원삼국-백제 한성기,양평 하자포리 3
128.374118E,37.332932N,강원,Charcoal,평창 용항리,Proto-three Kingdoms,Yemaek Cultural Property Research Institute,1767,24,,,원삼국-백제 한성기,평창 용항리 Proto-three Kingdoms
128.265477E,37.270642N,강원,Charcoal,영월 주천리 술샘,7 ,Gangwon Archaeological Culture Research Institute,1770,60,중도,,원삼국-백제 한성기,영월 주천리 술샘 7 
127.944313E,37.3848N,강원,Charcoal,원주 가현동,4,Gangwon Cultural Property Research Institute,1770,29,중도,,원삼국-백제 한성기,원주 가현동 4
128.638004E,37.209188N,강원,Charcoal,정선 예미리,8,Gangwon Cultural Property Research Institute,1770,60,중도,,원삼국-백제 한성기,정선 예미리 8
127.751408E,37.931132N,강원,Charcoal,춘천 율문리∙천전리,Yulmun∙Cheonjeon-36,Yemaek Cultural Property Research Institute,1770,40,중도,,원삼국-백제 한성기,춘천 율문리∙천전리 Yulmun∙Cheonjeon-36
128.382917E,37.345549N,강원,Charcoal,평창 약수리,A-2,Gangwon Archaeological Culture Research Institute,1770,40,중도,,원삼국-백제 한성기,평창 약수리 A-2
127.194032E,37.72955N,경기,Charcoal,남양주 장현,12,Central Institute of Cultural Heritage,1770,50,마한,,원삼국-백제 한성기,남양주 장현 12
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,라-3 ,National Research Institute of Cultural Heritage,1770,50,중도,,원삼국-백제 한성기,서울 풍납토성 라-3 
126.639648E,37.64342N,경기,Charcoal,김포 한강 신도시,1-3(다)-1 ,Korea Institute of Heritage,1770,60,,,원삼국-백제 한성기,김포 한강 신도시 1-3(다)-1 
127.251734E,37.395526N,경기,Charcoal,광주 역동,주-3,Korea Cultural Heritage Institute,1770,30,중도,No,원삼국-백제 한성기,광주 역동 주-3
127.212112E,38.084803N,경기,Charcoal,포천 중리,32,Gyerye Cultural Heritage Research Institute,1770,30,중도,No,원삼국-백제 한성기,포천 중리 32
127.2135911E,37.2412159N,경기,Charcoal,용인 고림동,B-8,Hanshin University Museum,1772,29,마한,Yes,원삼국-백제 한성기,용인 고림동 B-8
127.944313E,37.3848N,강원,Charcoal,원주 가현동,24,Gangwon Cultural Property Research Institute,1776,32,중도,,원삼국-백제 한성기,원주 가현동 24
127.535912E,37.423334N,경기,Charcoal,양평 하자포리,6,Gyeonggi Ceramic Museum,1779,25,중도,No,원삼국-백제 한성기,양평 하자포리 6
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,5,Gangwon Cultural Property Research Institute,1780,40,중도,,원삼국-백제 한성기,홍천 성산리 5
126.903069E,37.129636N,경기,Charcoal,화성 발안리,30 ,Gijeon Cultural Property Research Institute,1780,50,마한,,원삼국-백제 한성기,화성 발안리 30 
126.903069E,37.129636N,경기,Charcoal,화성 발안리,38 ,Gijeon Cultural Property Research Institute,1780,50,마한,,원삼국-백제 한성기,화성 발안리 38 
127.266563E,38.109058N,경기,Charcoal,포천 사정리 모래내,18,Central Institute of Cultural Heritage,1780,40 ,중도,,원삼국-백제 한성기,포천 사정리 모래내 18
128.168599E,37.148507N,충청,Charcoal,제천 왕암동,4-5,Jungwon Cultural Properties Institute,1780,40,중도,,원삼국-백제 한성기,제천 왕암동 4-5
127.064683E,37.281607N,경기,Charcoal,광교 신도시,11-1 ,Giho Cultural Heritage Research Center,1780,20,,,원삼국-백제 한성기,광교 신도시 11-1 
127.212112E,38.084803N,경기,Charcoal,포천 중리,27,Gyerye Cultural Heritage Research Institute,1780,30,중도,No,원삼국-백제 한성기,포천 중리 27
127.432718E,37.093609N,경기,Charcoal,안성 매산리,12,Ginam Cultural Heritage Research Center,1780,30,마한,No,원삼국-백제 한성기,안성 매산리 12
127.535749E,37.423713N,경기,Charcoal,양평 하자포리,삼(한)-주,Korea Cultural Heritage Foundation,1780,16,중도,Yes,원삼국-백제 한성기,양평 하자포리 삼(한)-주
127.902813E,37.129878N,경기,Charcoal,화성 발안리,30,Gijeon Cultural Property Research Institute,1780,50,중도,No,원삼국-백제 한성기,화성 발안리 30
127.902813E,37.129878N,경기,Charcoal,화성 발안리,38,Gijeon Cultural Property Research Institute,1780,50,중도,No,원삼국-백제 한성기,화성 발안리 38
127.743126E,37.913389N,강원,Charcoal,춘천 우두동,Udu Ⅲ-3,Gangwon Cultural Property Research Institute,1780,40,중도,,원삼국-백제 한성기,춘천 우두동 Udu Ⅲ-3
127.2135911E,37.2412159N,경기,Charcoal,용인 고림동,A-2,Hanshin University Museum,1783,25,중도,Yes,원삼국-백제 한성기,용인 고림동 A-2
127.2135911E,37.2412159N,경기,Charcoal,용인 고림동,B-2,Hanshin University Museum,1786,32,마한,Yes,원삼국-백제 한성기,용인 고림동 B-2
127.243675E,37.39228N,경기,Charcoal,광주 장지동,22 ,Gyounggi Cultural Property Research Institute,1788,19,중도,,원삼국-백제 한성기,광주 장지동 22 
127.944313E,37.3848N,강원,Charcoal,원주 가현동,26,Gangwon Cultural Property Research Institute,1790,29,중도,,원삼국-백제 한성기,원주 가현동 26
127.944313E,37.3848N,강원,Charcoal,원주 가현동,43,Gangwon Cultural Property Research Institute,1790,50,중도,,원삼국-백제 한성기,원주 가현동 43
127.701081E,37.885079N,강원,Charcoal,춘천 중도동,C-7,Gangwon Archaeological Culture Research Institute,1790,40,중도,,원삼국-백제 한성기,춘천 중도동 C-7
127.091459E,37.190436N,경기,Charcoal,화성 감배산,A-3 ,Museum of Gyounggi University,1790,60,마한,,원삼국-백제 한성기,화성 감배산 A-3 
126.639648E,37.64342N,경기,Charcoal,김포 한강 신도시,1-3(나)-4 ,Korea Institute of Heritage,1790,60,,,원삼국-백제 한성기,김포 한강 신도시 1-3(나)-4 
127.347222E,37.350278N,경기,Charcoal,광주 곤지암리,23,Korea Institute of Heritage,1790,30,중도,No,원삼국-백제 한성기,광주 곤지암리 23
128.631196E,37.315825N,강원,Charcoal,정선 가수리,3,Gangwon Institute of Cultural Heritage,1790,30,중도,No,원삼국-백제 한성기,정선 가수리 3
127.692716E,37.867458N,강원,Charcoal,춘천 삼천동,1,Museum of Hanrim University,1792,32,중도,,원삼국-백제 한성기,춘천 삼천동 1
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,라-8 ,National Research Institute of Cultural Heritage,1794,21,중도,,원삼국-백제 한성기,서울 풍납토성 라-8 
127.032608E,38.136725N,경기,Charcoal,연천 합수리,9,Hanul Reseasrch Institute of CUlturla Heritage,1795,29,중도,,원삼국-백제 한성기,연천 합수리 9
126.981489E,37.819986N,경기,Charcoal,양주 광석리,2,Kukbang Cultural Property Research Center,1798,26,중도,,원삼국-백제 한성기,양주 광석리 2
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,26,Gangwon Cultural Property Research Institute,1800,40,중도,,원삼국-백제 한성기,홍천 성산리 26
127.018379E,38.109908N,경기,Charcoal,연천 강내리,52 ,Korea Institute of Heritage,1800,40,중도,,원삼국-백제 한성기,연천 강내리 52 
126.903069E,37.129636N,경기,Charcoal,화성 발안리,51 ,Gijeon Cultural Property Research Institute,1800,50,마한,,원삼국-백제 한성기,화성 발안리 51 
127.364665E,37.795516N,경기,Charcoal,가평 항사리,나-21,Korea Institute of Heritage,1800,50 ,중도,,원삼국-백제 한성기,가평 항사리 나-21
127.046514E,37.133183N,경기,Charcoal,오산 탑동∙두곡동,14-3 ,Giho Cultural Heritage Research Center,1800,40,중도,,원삼국-백제 한성기,오산 탑동∙두곡동 14-3 
127.2135911E,37.2412159N,경기,Charcoal,용인 고림동,B-4,Hanshin University Museum,1800,40,중도,No,원삼국-백제 한성기,용인 고림동 B-4
127.347222E,37.350278N,경기,Charcoal,광주 곤지암리,28,Korea Institute of Heritage,1800,30,중도,No,원삼국-백제 한성기,광주 곤지암리 28
127.484805E,37.494859N,경기,Charcoal,양평 양근리,1,Gukto Institute of Cultural Heritage,1800,30,중도,No,원삼국-백제 한성기,양평 양근리 1
127.902813E,37.129878N,경기,Charcoal,화성 발안리,51,Gijeon Cultural Property Research Institute,1800,50,중도,No,원삼국-백제 한성기,화성 발안리 51
127.726466E,37.756309N,강원,Charcoal,춘천 군자리,1,Yemaek Cultural Property Research Institute,1802,13,중도,,원삼국-백제 한성기,춘천 군자리 1
127.681392E,38.062789N,강원,Charcoal,화천 원천리,23,Yemaek Cultural Property Research Institute,1805,20,중도,,원삼국-백제 한성기,화천 원천리 23
127.032608E,38.136725N,경기,Charcoal,연천 합수리,1,Hanul Reseasrch Institute of CUlturla Heritage,1805,29,중도,,원삼국-백제 한성기,연천 합수리 1
127.117257E,37.400068N,경기,Charcoal,성남 동판교,21-20 ,Korea Institute of Heritage,1806,36,마한,,원삼국-백제 한성기,성남 동판교 21-20 
127.749548E,37.208053N,강원,Charcoal,원주 법천리,1,Gangwon Archaeological Culture Research Institute,1807,34,중도,No,원삼국-백제 한성기,원주 법천리 1
127.751408E,37.931132N,강원,Charcoal,춘천 율문리∙천전리,Yulmun 335-4: 7,Gangwon Cultural Property Research Institute,1810,50,중도,,원삼국-백제 한성기,춘천 율문리∙천전리 Yulmun 335-4: 7
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,13 ,Gangwon Cultural Property Research Institute,1810,50,중도,,원삼국-백제 한성기,홍천 성산리 13 
126.760831E,37.726843N,경기,Charcoal,파주 운정,Wadong Ⅲ-15-8,Gyounggi Cultural Property Research Institute,1810,60,마한,,원삼국-백제 한성기,파주 운정 Wadong Ⅲ-15-8
126.760831E,37.726843N,경기,Charcoal,파주 운정,Wadong Ⅳ-21-13 ,Gyounggi Cultural Property Research Institute,1810,50,마한,,원삼국-백제 한성기,파주 운정 Wadong Ⅳ-21-13 
126.903069E,37.129636N,경기,Charcoal,화성 발안리,1  ,Gijeon Cultural Property Research Institute,1810,50,마한,,원삼국-백제 한성기,화성 발안리 1  
127.347222E,37.350278N,경기,Charcoal,광주 곤지암리,18,Korea Institute of Heritage,1810,30,중도,No,원삼국-백제 한성기,광주 곤지암리 18
127.212112E,38.084803N,경기,Charcoal,포천 중리,2,Gyerye Cultural Heritage Research Institute,1810,30,중도,No,원삼국-백제 한성기,포천 중리 2
127.902813E,37.129878N,경기,Charcoal,화성 발안리,1,Gijeon Cultural Property Research Institute,1810,50,중도,No,원삼국-백제 한성기,화성 발안리 1
127.722827E,37.478914N,강원,Charcoal,정선 여량리,4,Gangwon Institute of Cultural Heritage,1810,40,중도,No,원삼국-백제 한성기,정선 여량리 4
128.397984E,37.390637N,강원,Charcoal,평창 후평리,가-7,Gangwon Research Institute of Archaeological and Cultural Properties,1810,30,중도,No,원삼국-백제 한성기,평창 후평리 가-7
128.397984E,37.390637N,강원,Charcoal,평창 후평리,가-9,Gangwon Research Institute of Archaeological and Cultural Properties,1810,30,중도,No,원삼국-백제 한성기,평창 후평리 가-9
128.397984E,37.390637N,강원,Charcoal,평창 후평리,가-13,Gangwon Research Institute of Archaeological and Cultural Properties,1810,30,중도,No,원삼국-백제 한성기,평창 후평리 가-13
127.743126E,37.913389N,강원,Charcoal,춘천 우두동,Udu park-4,Gangwon Cultural Property Research Institute,1810,43,중도,,원삼국-백제 한성기,춘천 우두동 Udu park-4
127.278412E,37.943238N,경기,Charcoal,포천 길명리,Early Three Kingdoms period pit house,Museum of Sejong University,1812,25,중도,,원삼국-백제 한성기,포천 길명리 Early Three Kingdoms period pit house
127.249715E,37.968672N,경기,Charcoal,포천 금주리,4 ,Museum of Sejong University,1814,26,중도,,원삼국-백제 한성기,포천 금주리 4 
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,다-3  ,National Research Institute of Cultural Heritage,1814,32,중도,,원삼국-백제 한성기,서울 풍납토성 다-3  
127.997735E,37.812135N,강원,Charcoal,홍천 철정리,A-5 ,Gangwon Cultural Property Research Institute,1815,36,중도,,원삼국-백제 한성기,홍천 철정리 A-5 
127.535749E,37.423713N,경기,Charcoal,양평 하자포리,원-주,Korea Cultural Heritage Foundation,1816,16,중도,Yes,원삼국-백제 한성기,양평 하자포리 원-주
127.243675E,37.39228N,경기,Charcoal,광주 장지동,12 ,Gyounggi Cultural Property Research Institute,1818,15,중도,,원삼국-백제 한성기,광주 장지동 12 
127.944313E,37.3848N,강원,Charcoal,원주 가현동,10,Gangwon Cultural Property Research Institute,1820,29,중도,,원삼국-백제 한성기,원주 가현동 10
127.194032E,37.72955N,경기,Charcoal,남양주 장현,44,Central Institute of Cultural Heritage,1820,50,마한,,원삼국-백제 한성기,남양주 장현 44
127.194032E,37.72955N,경기,Charcoal,남양주 장현,4,Central Institute of Cultural Heritage,1820,50,마한,,원삼국-백제 한성기,남양주 장현 4
126.515606E,37.476826N,경기,Charcoal,인천 운남동,A-KC-001,Korea Archaeo-environment Research Institute,1820,60,마한,,원삼국-백제 한성기,인천 운남동 A-KC-001
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,다-5  ,National Research Institute of Cultural Heritage,1820,50,중도,,원삼국-백제 한성기,서울 풍납토성 다-5  
127.091459E,37.190436N,경기,Charcoal,화성 감배산,A-19 ,Museum of Gyounggi University,1820,60,마한,,원삼국-백제 한성기,화성 감배산 A-19 
127.364665E,37.795516N,경기,Charcoal,가평 항사리,-,Korea Institute of Heritage,1820,60 ,중도,,원삼국-백제 한성기,가평 항사리 -
127.266563E,38.109058N,경기,Charcoal,포천 사정리 모래내,11,Central Institute of Cultural Heritage,1820,40 ,중도,,원삼국-백제 한성기,포천 사정리 모래내 11
126.985032E,37.032743N,경기,Charcoal,평택 백봉리,B-2,Giho Cultural Heritage Research Center,1820,60,,,원삼국-백제 한성기,평택 백봉리 B-2
127.117257E,37.400068N,경기,Charcoal,성남 동판교,21-18 ,Korea Institute of Heritage,1820,36,마한,,원삼국-백제 한성기,성남 동판교 21-18 
127.743126E,37.913389N,강원,Charcoal,춘천 우두동,Udu Ⅲ-1,Gangwon Cultural Property Research Institute,1821,32,중도,,원삼국-백제 한성기,춘천 우두동 Udu Ⅲ-1
127.378916E,37.680931N,경기,Charcoal,가평 대성리,25 ,Gyounggi Cultural Property Research Institute,1825,20,중도,,원삼국-백제 한성기,가평 대성리 25 
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,마-1 ,National Research Institute of Cultural Heritage,1827,24,중도,,원삼국-백제 한성기,서울 풍납토성 마-1 
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,27,Gangwon Cultural Property Research Institute,1830,40,중도,,원삼국-백제 한성기,홍천 성산리 27
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,38,Gangwon Cultural Property Research Institute,1830,40,중도,,원삼국-백제 한성기,홍천 성산리 38
127.320794E,37.54989N,경기,Charcoal,양평 양수리 상석정,B-1,Museum of Sunggyungwan University,1830,40,중도,,원삼국-백제 한성기,양평 양수리 상석정 B-1
127.243675E,37.39228N,경기,Charcoal,광주 장지동,18 ,Gyounggi Cultural Property Research Institute,1830,20,중도,,원삼국-백제 한성기,광주 장지동 18 
127.194032E,37.72955N,경기,Charcoal,남양주 장현,65,Central Institute of Cultural Heritage,1830,50,마한,,원삼국-백제 한성기,남양주 장현 65
127.117257E,37.400068N,경기,Charcoal,성남 동판교,21-1-3 ,Korea Institute of Heritage,1830,50,마한,,원삼국-백제 한성기,성남 동판교 21-1-3 
126.775659E,37.833299N,경기,Charcoal,파주 능산리,1-1,Giho Cultural Heritage Research Center,1830,60,마한,,원삼국-백제 한성기,파주 능산리 1-1
127.192812E,37.579804N,경기,Charcoal,하남 명월동 구산,11 ,Korea Institute of Heritage,1830,60,마한,,원삼국-백제 한성기,하남 명월동 구산 11 
127.3945E,37.76334N,경기,Charcoal,가평 덕현리,C-1-1,Museum of Hanrim University,1831,35,중도,,원삼국-백제 한성기,가평 덕현리 C-1-1
128.631196E,37.315825N,강원,Charcoal,정선 가수리,2,Gangwon Institute of Cultural Heritage,1834,17,중도,Yes,원삼국-백제 한성기,정선 가수리 2
128.507406E,37.210748N,강원,Charcoal,영월 삼옥리,5,Yemaek Cultural Property Research Institute,1840,20,중도,,원삼국-백제 한성기,영월 삼옥리 5
128.507406E,37.210748N,강원,Charcoal,영월 삼옥리,6,Yemaek Cultural Property Research Institute,1840,20,중도,,원삼국-백제 한성기,영월 삼옥리 6
127.721289E,37.891914N,강원,Charcoal,춘천 근화동,3,Yemaek Cultural Property Research Institute,1840,20,중도,,원삼국-백제 한성기,춘천 근화동 3
127.751408E,37.931132N,강원,Charcoal,춘천 율문리∙천전리,Yulmun 335-4: 8,Gangwon Cultural Property Research Institute,1840,50,중도,,원삼국-백제 한성기,춘천 율문리∙천전리 Yulmun 335-4: 8
127.751408E,37.931132N,강원,Charcoal,춘천 율문리∙천전리,Cheonjeon-A-5,Gangwon Cultural Property Research Institute,1840,50,중도,,원삼국-백제 한성기,춘천 율문리∙천전리 Cheonjeon-A-5
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,41,Gangwon Cultural Property Research Institute,1840,40,중도,,원삼국-백제 한성기,홍천 성산리 41
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,45,Gangwon Cultural Property Research Institute,1840,40,중도,,원삼국-백제 한성기,홍천 성산리 45
127.997735E,37.812135N,강원,Charcoal,홍천 철정리,A-3 ,Gangwon Cultural Property Research Institute,1840,50,중도,,원삼국-백제 한성기,홍천 철정리 A-3 
127.378916E,37.680931N,경기,Charcoal,가평 대성리,16 ,Gyounggi Cultural Property Research Institute,1840,20,중도,,원삼국-백제 한성기,가평 대성리 16 
127.243675E,37.39228N,경기,Charcoal,광주 장지동,11 ,Gyounggi Cultural Property Research Institute,1840,50,중도,,원삼국-백제 한성기,광주 장지동 11 
126.635093E,37.645535N,경기,Charcoal,김포 양촌,2-4(나)-2 ,Korea Institute of Heritage,1840,60,마한,,원삼국-백제 한성기,김포 양촌 2-4(나)-2 
126.683544E,37.65817N,경기,Charcoal,김포 운양동,2-9-31,Korea Institute of Heritage,1840,25,마한,,원삼국-백제 한성기,김포 운양동 2-9-31
127.194032E,37.72955N,경기,Charcoal,남양주 장현,34,Central Institute of Cultural Heritage,1840,50,마한,,원삼국-백제 한성기,남양주 장현 34
126.903069E,37.129636N,경기,Charcoal,화성 발안리,21  ,Gijeon Cultural Property Research Institute,1840,60,마한,,원삼국-백제 한성기,화성 발안리 21  
126.903069E,37.129636N,경기,Charcoal,화성 발안리,5 ,Gijeon Cultural Property Research Institute,1840,60,마한,,원삼국-백제 한성기,화성 발안리 5 
127.902813E,37.129878N,경기,Charcoal,화성 발안리,5,Gijeon Cultural Property Research Institute,1840,60,중도,No,원삼국-백제 한성기,화성 발안리 5
127.902813E,37.129878N,경기,Charcoal,화성 발안리,21,Gijeon Cultural Property Research Institute,1840,60,중도,No,원삼국-백제 한성기,화성 발안리 21
127.722827E,37.478914N,강원,Charcoal,정선 여량리,2,Gangwon Institute of Cultural Heritage,1840,40,중도,No,원삼국-백제 한성기,정선 여량리 2
127.402135E,37.494394N,경기,Charcoal,양평 운심리,2,Korea Cultural Heritage Foundation,1842,24,중도,No,원삼국-백제 한성기,양평 운심리 2
128.527565E,37.271022N,강원,Charcoal,영월 문산리,Proto-three Kingdoms,Gangwon Cultural Property Research Institute,1843,29,중도,,원삼국-백제 한성기,영월 문산리 Proto-three Kingdoms
127.378916E,37.680931N,경기,Charcoal,가평 대성리,22 ,Gyounggi Cultural Property Research Institute,1845,20,중도,,원삼국-백제 한성기,가평 대성리 22 
127.743126E,37.913389N,강원,"Charcoal, Charred grain",춘천 우두동,Udu Ⅲ-7,Gangwon Cultural Property Research Institute,1848,32,중도,,원삼국-백제 한성기,춘천 우두동 Udu Ⅲ-7
128.507406E,37.210748N,강원,Charcoal,영월 삼옥리,2,Yemaek Cultural Property Research Institute,1850,25,중도,,원삼국-백제 한성기,영월 삼옥리 2
127.944313E,37.3848N,강원,Charcoal,원주 가현동,37,Gangwon Cultural Property Research Institute,1850,40,중도,,원삼국-백제 한성기,원주 가현동 37
127.194032E,37.72955N,경기,Charcoal,남양주 장현,14,Central Institute of Cultural Heritage,1850,50,마한,,원삼국-백제 한성기,남양주 장현 14
126.78707E,37.874197N,경기,Charcoal,문산 당동리,1-11,Gyounggi Cultural Property Research Institute,1850,50,마한,,원삼국-백제 한성기,문산 당동리 1-11
126.971097E,37.409198N,경기,Charcoal,안양 관양동,4-2-1 ,Korea Institute of Heritage,1850,60,중도,,원삼국-백제 한성기,안양 관양동 4-2-1 
127.032608E,38.136725N,경기,Charcoal,연천 합수리,5,Hanul Reseasrch Institute of CUlturla Heritage,1850,40,중도,,원삼국-백제 한성기,연천 합수리 5
126.689053E,37.611847N,경기,Charcoal,인천 불로동,4-2,Korea Cultural Heritage Foundation,1850,39,마한,,원삼국-백제 한성기,인천 불로동 4-2
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,라-7 ,National Research Institute of Cultural Heritage,1850,50,중도,,원삼국-백제 한성기,서울 풍납토성 라-7 
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,PungnapⅠ-가-4,National Research Institute of Cultural Heritage,1850,50,중도,,원삼국-백제 한성기,서울 풍납토성 PungnapⅠ-가-4
127.091459E,37.190436N,경기,Charcoal,화성 감배산,C-2 ,Museum of Gyounggi University,1850,60,마한,,원삼국-백제 한성기,화성 감배산 C-2 
126.903069E,37.129636N,경기,Charcoal,화성 발안리,27 ,Gijeon Cultural Property Research Institute,1850,50,마한,,원삼국-백제 한성기,화성 발안리 27 
126.639648E,37.64342N,경기,Charcoal,김포 한강 신도시,1-3(다)-2 ,Korea Institute of Heritage,1850,60,,,원삼국-백제 한성기,김포 한강 신도시 1-3(다)-2 
127.902813E,37.129878N,경기,Charcoal,화성 발안리,27,Gijeon Cultural Property Research Institute,1850,50,중도,No,원삼국-백제 한성기,화성 발안리 27
128.397984E,37.390637N,강원,Charcoal,평창 후평리,가-4,Gangwon Research Institute of Archaeological and Cultural Properties,1850,30,중도,No,원삼국-백제 한성기,평창 후평리 가-4
127.378916E,37.680931N,경기,Charcoal,가평 대성리,11 ,Gyounggi Cultural Property Research Institute,1855,25,중도,,원삼국-백제 한성기,가평 대성리 11 
127.378916E,37.680931N,경기,Charcoal,가평 대성리,5 ,Gyounggi Cultural Property Research Institute,1855,25,중도,,원삼국-백제 한성기,가평 대성리 5 
127.243675E,37.39228N,경기,Charcoal,광주 장지동,21 ,Gyounggi Cultural Property Research Institute,1855,20,중도,,원삼국-백제 한성기,광주 장지동 21 
127.378916E,37.680931N,경기,Charred material,가평 대성리,10 ,Gyounggi Cultural Property Research Institute,1859,17,중도,,원삼국-백제 한성기,가평 대성리 10 
127.098028E,37.19868N,경기,N/A,화성 청계리,마-A Pottery,Hanbaek Cultural Property Research Institute,1860,40 ,마한,,원삼국-백제 한성기,화성 청계리 마-A Pottery
127.239338E,37.994458N,경기,Charcoal,포천 거사리,C-1,Dongguk Institute of Cultural Properties,1860,29,중도,Yes,원삼국-백제 한성기,포천 거사리 C-1
127.364665E,37.795516N,경기,Charcoal,가평 항사리,나-15,Korea Institute of Heritage,1864,39 ,중도,,원삼국-백제 한성기,가평 항사리 나-15
127.997735E,37.812135N,강원,Charcoal,홍천 철정리,A-4 ,Gangwon Cultural Property Research Institute,1865,36,중도,,원삼국-백제 한성기,홍천 철정리 A-4 
127.378916E,37.680931N,경기,Charred material,가평 대성리,6 ,Gyounggi Cultural Property Research Institute,1865,20,중도,,원삼국-백제 한성기,가평 대성리 6 
127.013889E,38.005556N,경기,Charcoal,연천 남계리,3-1,Museun of Seoul National University,1866,6,중도,Yes,원삼국-백제 한성기,연천 남계리 3-1
127.962071E,37.537727N,강원,Charcoal,횡성 학담리,2,Museum of Hanrim University,1870,50,중도,,원삼국-백제 한성기,횡성 학담리 2
127.018379E,38.109908N,경기,Charcoal,연천 강내리,11 ,Korea Institute of Heritage,1870,40,중도,,원삼국-백제 한성기,연천 강내리 11 
127.378916E,37.680931N,경기,Charcoal,가평 대성리,14 ,Gyounggi Cultural Property Research Institute,1871,16,중도,,원삼국-백제 한성기,가평 대성리 14 
127.378916E,37.680931N,경기,"Charcoal, Charred material",가평 대성리,3 ,Gyounggi Cultural Property Research Institute,1875,15,중도,,원삼국-백제 한성기,가평 대성리 3 
127.743126E,37.913389N,강원,Charcoal,춘천 우두동,Udu park-3,Gangwon Cultural Property Research Institute,1879,39,중도,,원삼국-백제 한성기,춘천 우두동 Udu park-3
128.507406E,37.210748N,강원,Charcoal,영월 삼옥리,3,Yemaek Cultural Property Research Institute,1880,20,중도,,원삼국-백제 한성기,영월 삼옥리 3
127.751408E,37.931132N,강원,Charcoal,춘천 율문리∙천전리,Yulmun∙Cheonjeon-31,Yemaek Cultural Property Research Institute,1880,40,중도,,원삼국-백제 한성기,춘천 율문리∙천전리 Yulmun∙Cheonjeon-31
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,44,Gangwon Cultural Property Research Institute,1880,40,중도,,원삼국-백제 한성기,홍천 성산리 44
126.635093E,37.645535N,경기,Charcoal,김포 양촌,2-4(나)-8 ,Korea Institute of Heritage,1880,60,마한,,원삼국-백제 한성기,김포 양촌 2-4(나)-8 
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,라-1 ,National Research Institute of Cultural Heritage,1880,50,중도,,원삼국-백제 한성기,서울 풍납토성 라-1 
127.266563E,38.109058N,경기,Charcoal,포천 사정리 모래내,22,Central Institute of Cultural Heritage,1880,40 ,중도,,원삼국-백제 한성기,포천 사정리 모래내 22
127.011691E,38.086696N,경기,Charcoal,연천 삼거리,4,Baekdu Institute of Cultural Heritage,1880,40,중도,No,원삼국-백제 한성기,연천 삼거리 4
127.135791E,37.578845N,경기,Charcoal,구리 토평동,F-10,Seoul Institute of Cultural Heritage,1880,30,중도,No,원삼국-백제 한성기,구리 토평동 F-10
N/A,N/A,강원,N/A,춘천 천전리(한·문277),4,,1880,40,,,청동기,춘천 천전리(한·문277) 4
127.378916E,37.680931N,경기,Charcoal,가평 대성리,1  ,Gyerye Cultural Heritage Research Institute,1881,8,중도,,원삼국-백제 한성기,가평 대성리 1  
128.507406E,37.210748N,강원,Charcoal,영월 삼옥리,4,Yemaek Cultural Property Research Institute,1885,25,중도,,원삼국-백제 한성기,영월 삼옥리 4
128.27063E,37.268031N,강원,Charcoal,영월 주천리,Proto-three Kingdoms 4,Yemaek Cultural Property Research Institute,1886,29,중도,,원삼국-백제 한성기,영월 주천리 Proto-three Kingdoms 4
127.743126E,37.913389N,강원,Charcoal,춘천 우두동,Udu Ⅱ-1,Gangwon Cultural Property Research Institute,1890,40,중도,,원삼국-백제 한성기,춘천 우두동 Udu Ⅱ-1
127.378916E,37.680931N,경기,Charcoal,가평 대성리,18 ,Gyounggi Cultural Property Research Institute,1890,25,중도,,원삼국-백제 한성기,가평 대성리 18 
126.88443E,37.430142N,경기,Charcoal,광명 소하동,2 ,Korea Archaeo-environment Research Institute,1890,50,마한,,원삼국-백제 한성기,광명 소하동 2 
126.903069E,37.129636N,경기,Charcoal,화성 발안리,24 ,Gijeon Cultural Property Research Institute,1890,50,마한,,원삼국-백제 한성기,화성 발안리 24 
127.902813E,37.129878N,경기,Charcoal,화성 발안리,24,Gijeon Cultural Property Research Institute,1890,50,중도,No,원삼국-백제 한성기,화성 발안리 24
N/A,N/A,경기,N/A,인천 중산동(중앙),3-12,,1890,50,,,청동기,인천 중산동(중앙) 3-12
