X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Size(cm2),Name,Area
127.96171,37.762661,강원,Charcoal,홍천 성산리,29,강원도문화재연구소,1650,40,백제(呂·凸자형),659760,강원도문화재연구소 홍천 성산리 29,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,31,강원도문화재연구소,1600,40,백제(呂·凸자형),X,강원도문화재연구소 홍천 성산리 31,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,32,강원도문화재연구소,1710,40,불명,X,강원도문화재연구소 홍천 성산리 32,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,33,강원도문화재연구소,1710,40,백제(呂·凸자형),X,강원도문화재연구소 홍천 성산리 33,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,35,강원도문화재연구소,1710,40,백제(呂·凸자형),X,강원도문화재연구소 홍천 성산리 35,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,36,강원도문화재연구소,1730,50,백제(呂·凸자형),X,강원도문화재연구소 홍천 성산리 36 ,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,38,강원도문화재연구소,1830,40,백제(呂·凸자형),X,강원도문화재연구소 홍천 성산리 38,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,39,강원도문화재연구소,1610,40,불명,X,강원도문화재연구소 홍천 성산리 39,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,41,강원도문화재연구소,1840,40,불명,X,강원도문화재연구소 홍천 성산리 41,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,43,강원도문화재연구소,1710,40,백제(呂·凸자형),320172,강원도문화재연구소 홍천 성산리 43,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,44,강원도문화재연구소,1880,40,백제(呂·凸자형),X,강원도문화재연구소 홍천 성산리 44,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,45,강원도문화재연구소,1840,40,백제(呂·凸자형),309180,강원도문화재연구소 홍천 성산리 45,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,5,강원도문화재연구소,1780,40,백제(呂·凸자형),X,강원도문화재연구소 홍천 성산리 5,영서
127.96171,37.762661,강원,Charcoal,홍천 성산리,7,강원도문화재연구소,1620,40,백제(呂·凸자형),653736,강원도문화재연구소 홍천 성산리 7 ,영서
127.997735,37.812135,강원,Charcoal,홍천 철정리,A-철-3 ,강원도문화재연구소,1840,50,백제(呂·凸자형),343164,강원도문화재연구소 홍천 철정리 A-철-3 ,영서
127.997735,37.812135,강원,Charcoal,홍천 철정리,A-철-4 ,강원도문화재연구소,1865,36,백제(呂·凸자형),452337,강원도문화재연구소 홍천 철정리 A-철-4 ,영서
127.997735,37.812135,강원,Charcoal,홍천 철정리,A-철-5 ,강원도문화재연구소,1815,36,불명,X,강원도문화재연구소 홍천 철정리 A-철-5 ,영서
127.997735,37.812135,강원,Charcoal,홍천 철정리,C-청-3,강원도문화재연구소,2150,60,청동기(방형),310177,강원도문화재연구소 홍천 철정리 C-청-3,영서
