X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Size(cm2),Name,Area
127.512166,37.831534,경기,Charcoal,가평 읍내리,4,경강문화재연구원,1260,30,신라(방형),X,경강문화재연구원 가평 읍내리 4,경기북부
127.515236,37.82972,경기,Charcoal,가평 읍내리,철기시대 주거지,경강문화재연구원,1920,24,불명,X,경강문화재연구원 가평 읍내리 철기시대 주거지,경기북부
127.512046,37.832895,경기,Charcoal,가평 읍내리,통일신라시대 주거지,한국문화재재단,1235,15,신라(방형),X,한국문화재재단 가평 읍내리 통일신라시대 주거지,경기북부
127.413167,37.727682,경기,Charcoal,가평 청평리,원삼국-1,서울문화유산연구원,1780,30,불명,X,서울문화유산연구원 가평 청평리 원삼국-1,경기북부
127.413167,37.727682,경기,Charcoal,가평 청평리,원삼국-4,서울문화유산연구원,1695,22,백제(呂·凸자형),X,서울문화유산연구원 가평 청평리 원삼국-4,경기북부
127.414004,37.72769,경기,Charcoal,가평 청평리,주-1(1),한국문화재재단,1655,14,백제(呂·凸자형),739050,한국문화재재단 가평 청평리 주-1(1),경기북부
127.414004,37.72769,경기,Charcoal,가평 청평리,주-1(2),한국문화재재단,1752,17,백제(呂·凸자형),739050,한국문화재재단 가평 청평리 주-1(2),경기북부
127.414004,37.72769,경기,Charcoal,가평 청평리,주-2,한국문화재재단,1753,16,장방형,298920,한국문화재재단 가평 청평리 주-2,경기북부
127.414004,37.72769,경기,Charcoal,가평 청평리,주-4,한국문화재재단,1865,24,백제(방형),X,한국문화재재단 가평 청평리 주-4,경기북부
127.413689,37.727308,경기,Charcoal,가평 청평리,주거지-1,한국문화재재단,1708,26,백제(呂·凸자형),X,한국문화재재단 가평 청평리 주거지-1,경기북부
127.413689,37.727308,경기,Charcoal,가평 청평리,주거지-2,한국문화재재단,1784,26,백제(呂·凸자형),X,한국문화재재단 가평 청평리 주거지-2,경기북부
127.413689,37.727308,경기,Charcoal,가평 청평리,주거지-3,한국문화재재단,1617,23,백제(呂·凸자형),X,한국문화재재단 가평 청평리 주거지-3,경기북부
127.364355,37.798158,경기,Charcoal,가평 항사리,2,한국문화재재단,1824,17,백제(呂·凸자형),X,한국문화재재단 가평 항사리 2,경기북부
127.364665,37.795516,경기,Charcoal,가평 항사리,가-10,고려문화재연구원,1600,60,백제(呂·凸자형),X,고려문화재연구원 가평 항사리 가-10,경기북부
