Region,material,Site,Feature Number,Excavation istitute,BP,Error,Name
강원,Charred grain,홍천 성산리,3호 주 ,강원문화재연구소,1640,40,홍천 성산리3호 주 
강원,Charred grain,홍천 성산리,5호 주,강원문화재연구소,1780,40,홍천 성산리5호 주
강원,Charred grain,홍천 성산리,7호 주 ,강원문화재연구소,1620,40,홍천 성산리7호 주 
강원,Charred grain,홍천 성산리,13호 주,강원문화재연구소,1810,50,홍천 성산리13호 주
강원,Charred grain,홍천 성산리,14호 주,강원문화재연구소,1650,40,홍천 성산리14호 주
강원,Charred grain,홍천 성산리,19호 주,강원문화재연구소,1930,50,홍천 성산리19호 주
강원,Charred grain,홍천 성산리,21호 주,강원문화재연구소,1680,50,홍천 성산리21호 주
강원,Charred grain,홍천 성산리,24호 주,강원문화재연구소,1750,50,홍천 성산리24호 주
강원,Charred grain,홍천 성산리,25호 주,강원문화재연구소,1740,40,홍천 성산리25호 주
강원,Charred grain,홍천 성산리,26호 주,강원문화재연구소,1800,40,홍천 성산리26호 주
강원,Charred grain,홍천 성산리,27호 주,강원문화재연구소,1830,40,홍천 성산리27호 주
강원,Charred grain,홍천 성산리,28호 주,강원문화재연구소,1640,40,홍천 성산리28호 주
강원,Charred grain,홍천 성산리,29호 주,강원문화재연구소,1650,40,홍천 성산리29호 주
강원,Charred grain,홍천 성산리,30호 주,강원문화재연구소,1540,40,홍천 성산리30호 주
강원,Charred grain,홍천 성산리,31호 주,강원문화재연구소,1600,40,홍천 성산리31호 주
강원,Charred grain,홍천 성산리,32호 주,강원문화재연구소,1710,40,홍천 성산리32호 주
강원,Charred grain,홍천 성산리,33호 주,강원문화재연구소,1710,40,홍천 성산리33호 주
강원,Charred grain,홍천 성산리,35호 주,강원문화재연구소,1710,40,홍천 성산리35호 주
강원,Charred grain,홍천 성산리,36호 주,강원문화재연구소,1730,50,홍천 성산리36호 주
강원,Charred grain,홍천 성산리,38호 주,강원문화재연구소,1830,40,홍천 성산리38호 주
강원,Charred grain,홍천 성산리,39호 주,강원문화재연구소,1610,40,홍천 성산리39호 주
강원,Charred grain,홍천 성산리,31호 주,강원문화재연구소,1840,40,홍천 성산리31호 주
강원,Charred grain,홍천 성산리,43호 주,강원문화재연구소,1710,40,홍천 성산리43호 주
강원,Charred grain,홍천 성산리,44호 주,강원문화재연구소,1880,40,홍천 성산리44호 주
강원,Charred grain,홍천 성산리,45호 주,강원문화재연구소,1840,40,홍천 성산리45호 주
강원,Charred grain,평창 후평리,3호 주,강원고고문화연구원,1740,30,평창 후평리3호 주
강원,Charred grain,평창 후평리,4호 주,강원고고문화연구원,1850,30,평창 후평리4호 주
강원,Charred grain,평창 후평리,5호 주,강원고고문화연구원,1690,30,평창 후평리5호 주
강원,Charred grain,평창 후평리,6호 주,강원고고문화연구원,1710,30,평창 후평리6호 주
강원,Charred grain,평창 후평리,7호 주,강원고고문화연구원,1810,30,평창 후평리7호 주
강원,Charred grain,평창 후평리,9호 주,강원고고문화연구원,1810,30,평창 후평리9호 주
강원,Charred grain,평창 후평리,11호 주,강원고고문화연구원,1700,30,평창 후평리11호 주
강원,Charred grain,평창 후평리,12호 주,강원고고문화연구원,1740,30,평창 후평리12호 주
강원,Charred grain,평창 후평리,13호 주,강원고고문화연구원,1810,30,평창 후평리13호 주
강원,Charred grain,평창 후평리,15호 주,강원고고문화연구원,1720,30,평창 후평리15호 주
강원,Charred grain,평창 천동리,1호 주,강원고고문화연구원,1650,50,평창 천동리1호 주
강원,Charred grain,평창 천동리,2호 주,강원고고문화연구원,1730,60,평창 천동리2호 주
강원,Charred grain,화천 원천리,21호 주,예맥문화재연구원,1725,19,화천 원천리21호 주
강원,Charred grain,화천 원천리,22호 주,예맥문화재연구원,1650,19,화천 원천리22호 주
강원,Charred grain,화천 원천리,24호 주,예맥문화재연구원,1685,21,화천 원천리24호 주
강원,Charred grain,화천 원천리,29호 주,예맥문화재연구원,1680,21,화천 원천리29호 주
강원,Charred grain,화천 원천리,30호 주,예맥문화재연구원,1705,19,화천 원천리30호 주
강원,Charred grain,화천 원천리,33호 주,예맥문화재연구원,1685,19,화천 원천리33호 주
강원,Charred grain,화천 원천리,34호 주,예맥문화재연구원,1710,20,화천 원천리34호 주
강원,Charred grain,화천 원천리,37호 주,예맥문화재연구원,1715,20,화천 원천리37호 주
강원,Charred grain,화천 원천리,39호 주,예맥문화재연구원,1750,19,화천 원천리39호 주
강원,Charred grain,화천 원천리,53호 주,예맥문화재연구원,1710,19,화천 원천리53호 주
강원,Charred grain,화천 원천리,65호 주,예맥문화재연구원,1700,19,화천 원천리65호 주
강원,Charred grain,화천 원천리,69호 주,예맥문화재연구원,1690,20,화천 원천리69호 주
강원,Charred grain,화천 원천리,72호 주,예맥문화재연구원,1685,19,화천 원천리72호 주
강원,Charred grain,화천 원천리,78호 주,예맥문화재연구원,1700,18,화천 원천리78호 주
강원,Charred grain,화천 원천리,109호 주,예맥문화재연구원,1690,20,화천 원천리109호 주
강원,Charred grain,횡성 읍하리,4호 주,예맥문화재연구원,1730,50,횡성 읍하리4호 주
