Name,원삼국1,원삼국2,원삼국3,한성백제1,한성백제2,한성백제3,한성백제4
포천 영송리,0,0,5,0,0,0,0
포천 자작리,0,0,0,0,10,15,0
포천 중리 마산,0,0,7,1,1,3,0
포천 중리 용수재울,0,0,22,0,2,4,0
풍납토성,0,0,11,11,10,23,16
하남 망월동 구산,0,0,1,0,4,2,0
하남 미사리,0,1,5,3,7,5,7
홍천 성산리,0,8,25,2,3,3,0
홍천 송정리,0,1,8,0,0,0,0
홍천 철정리,2,15,0,0,0,0,0
홍천 태학리,0,19,34,0,0,0,0
홍천 하화계리,0,0,1,0,0,0,0
화성 감배산,0,0,22,15,6,10,0
화성 고금산,0,0,1,2,0,0,0
화성 금곡리,0,0,0,0,0,6,0
화성 남양동,0,0,0,0,0,12,0
화성 당하리,0,0,0,0,0,2,0
화성 마하리,0,0,0,0,0,4,0
화성 발안리,0,0,13,2,3,32,0
화성 석우리 먹실,0,0,0,0,0,19,0
화성 소근산성,0,0,0,0,0,0,6
화성 왕림리,0,0,0,0,0,0,9
화성 왕림리 노리재골2,0,0,0,0,0,0,2
화성 요리,0,0,0,0,0,3,4
화성 장외리,0,0,0,0,0,6,0
화성 제암리,0,0,0,0,0,1,0
화성 향남 2지구,0,0,0,0,0,0,1
화성 화산동,0,0,0,0,0,0,1
화천 거례리,0,11,1,0,0,0,0
화천 원천리,0,0,12,26,27,20,0
화천 위라리,1,3,0,0,0,0,0
횡성 둔내,0,0,13,0,0,0,0
횡성 읍하리,0,0,15,5,5,7,0
횡성 중금리,0,0,5,0,0,0,0
횡성 학담리,0,0,2,0,0,0,0
횡성 화전리,0,0,8,0,0,0,0
